Company,Website,Phone,Address,Email,Team Page,Person 1,Job 1,Person 2,Job 2,Person 3,Job 3

Wetpaint,"=HYPERLINK(""http://wetpaint-inc.com"")",206.859.6300,"=HYPERLINK(""https://www.google.com/maps/preview/place/'270 Lafayette Street Suite 505 New York'"")",info@wetpaint.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+wetpaint"")",Michael Howell,"Co-Founder and VP, Social and Audience Development",Ben Elowitz,Co-Founder/CEO/Board of Directors,Rob Grady,COO/Board of Directors
Facebook,"=HYPERLINK(""http://facebook.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'340 Madison Ave  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+facebook"")",Mark Zuckerberg,"Founder and CEO, Board Of Directors",David Ebersman,CFO,Sheryl Sandberg,COO
Viacom,"=HYPERLINK(""http://www.viacom.com"")",(212) 258-6000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1515 Broadway  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+viacom"")",Philippe Dauman,"President, CEO",Thomas Dooley,"Senior Exec. VP, Chief Admin. Officer, CFO",John vanSuchtelen,"VP, AddictingGames"
AddThis,"=HYPERLINK(""http://www.addthis.com"")",703-677-3999,"=HYPERLINK(""https://www.google.com/maps/preview/place/'568 Broadway 11th Floor, Suite 1105 New York'"")",info@addthis.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+addthis"")",Richard Harris,CEO,Dom Vonarburg,Founder,Hooman Radfar,Co-Founder and Chairman
OpenX,"=HYPERLINK(""http://www.openx.com"")",626-466-1141,"=HYPERLINK(""https://www.google.com/maps/preview/place/'584 Broadway 8th Floor New York'"")",hello@openx.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+openx"")",Jin Yu,"VP, Engineering & Chief Architect",John Gentry,Chief Operating Officer & President,Tim Cadogan,Chief Executive Officer
Time Warner,"=HYPERLINK(""http://www.timewarner.com"")",212-484-8000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'One Time Warner Center  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+timewarner"")",Phil Kent,"Chairman and Chief Executive Officer, Turner Broadcasting System",Jeff Bewkes,CEO,Joseph A. Ripp,"Chief Executive Officer, Time Inc"
Jingle Networks,"=HYPERLINK(""http://jinglenetworks.com"")",212-481-4114 x237,"=HYPERLINK(""https://www.google.com/maps/preview/place/'475 Park Ave South 10th Floor New York'"")",pr@jinglenetworks.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+jingle-networks"")",Scott Kliger,Founder and CTO,Louis Toth,Director,Scott Bruce,Director
Meetup,"=HYPERLINK(""http://www.meetup.com"")",(212) 255-7327â€Ž,"=HYPERLINK(""https://www.google.com/maps/preview/place/'632 Broadway 10th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+meetup"")",Scott Heiferman,CEO,Gary Burns,CTO,Brendan McGovern,CFO
Google,"=HYPERLINK(""http://google.com"")",650.253.0000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'76 Ninth Avenue 4th Floor New York'"")",google@google.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+google"")",Dan Shapiro,CEO of Google Comparison Inc,Larry Page,CEO & Co-Founder,Eric Schmidt,Executive Chairman
Livestream,"=HYPERLINK(""http://www.livestream.com"")",(646) 495 9707,"=HYPERLINK(""https://www.google.com/maps/preview/place/'111 8th Avenue, #1509  New York'"")",info@livestream.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+livestream"")",Dayananda Nanjundappa,Co-founder and Chief Technology Officer,Max Haot,Co-founder and CEO,Paul Schumacher,Chief Architect
Pando Networks,"=HYPERLINK(""http://pandonetworks.com"")",212-343-8800,"=HYPERLINK(""https://www.google.com/maps/preview/place/'520 Broadway 10th Floor New York'"")",info@pando.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+pando-networks"")",Robert Levitan,Founder & CEO,Avi Cohen,COO,Narkis Engler,VP Product Management
Adap.tv,"=HYPERLINK(""http://www.adap.tv"")",650 286 4420,"=HYPERLINK(""https://www.google.com/maps/preview/place/'315 Park Avenue South 7th Floor New York'"")",pr@adap.tv,"=HYPERLINK(""https://www.google.com/search?q='management+team'+adap-tv"")",Amir Ashkenazi,Chief Executive Officer and Co-Founder,Kara Weber,Chief Marketing Officer,Teg Grenager,Chief Product Officer and Co-Founder
POPSUGAR,"=HYPERLINK(""http://www.popsugar.com"")",415-391-7576,"=HYPERLINK(""https://www.google.com/maps/preview/place/'386 Park Avenue South  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+sugar"")",Arthur Cinader,"Founder & EVP of Product Development, POPSUGAR",Lisa Sugar,"Founder, Editor in Chief, POPSUGAR",Kristine Shine,"Chief Revenue Officer, POPSUGAR"
Surphace,"=HYPERLINK(""http://surphace.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'770 Broadway 5th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+sphere"")",Toni Schneider,Co-founder / Advisor,Adam Embick,COO,Matt Mullenweg,Advisor
Mashery,"=HYPERLINK(""http://www.mashery.com"")",(415) 684-7200,"=HYPERLINK(""https://www.google.com/maps/preview/place/'594 Broadway, Suite 407  New York'"")",support@mashery.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+mashery"")",Kirsten Spoljaric,"Co-Founder and VP, HR and Administration",Oren Michels,CEO and Co-Founder,Tom St. Onge,"VP, Business Development"
KickApps,"=HYPERLINK(""http://www.kickapps.com"")",(212) 730-4558,"=HYPERLINK(""https://www.google.com/maps/preview/place/'26 W 17th Street 2nd Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+kickapps"")",Pete Clark,Co-Founder,Rahul Daterao,Chief Technology Officer,Trish Iboshi,"EVP, Sales"
Seeking Alpha,"=HYPERLINK(""http://seekingalpha.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'231 W 29th St  New York'"")",support@seekingalpha.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+seekingalpha"")",David Jackson,Founder,Eli Hoffman,"VP Content, Editor In Chief",Sharon Weiss,"CTO , VP R&D"
Meebo,"=HYPERLINK(""http://www.meebo.com"")",(650) 237-3130,"=HYPERLINK(""https://www.google.com/maps/preview/place/'45 E. 20th Street, 12th Floor  New York'"")",comments@meebo.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+meebo"")",Elaine Wherry,Advisor and Co-Founder,Sandy Jen,CTO and Co-Founder,Seth Sternberg,CEO and Co-Founder
GigaOM,"=HYPERLINK(""http://gigaom.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+gigaom"")",Paul Walborsky,CEO,Om Malik,Founder and Senior Writer,Raza Zaidi,"VP, Product"
revlayer,"=HYPERLINK(""http://revlayer.com"")",888-649-3651,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",,"=HYPERLINK(""https://www.google.com/search?q='management+team'+revlayer"")",Allen Stern,Founder,Felix Shinir,Developer,Sam Falah,Developer
ScanScout,"=HYPERLINK(""http://www.scanscout.com"")",617-426-6706,"=HYPERLINK(""https://www.google.com/maps/preview/place/'450 Seventh Ave, Ste 209  New York'"")",press@scanscout.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+scanscout"")",Bill Day,CEO,Steven Lee,Co-Founder and CTO,Jed Savage,CRO
New York Times,"=HYPERLINK(""http://www.newyorktimes.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'620 Eighth Avenue  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+newyorktimes"")",Arthur O. Sulzberger,"Director, Chairman and Publisher",Michael Golden,Vice Chairman,Mark Thompson,President & CEO
Lithium Technologies,"=HYPERLINK(""http://www.lithium.com"")",415.757.3100,"=HYPERLINK(""https://www.google.com/maps/preview/place/'345 7th Ave., 2nd Floor  New York'"")",marketing@lithium.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+lithiumtechnologies"")",Rob Tarkoff,CEO,Katy Keim,CMO,Lyle Fong,Chief Strategist
WikiYou,"=HYPERLINK(""http://www.wikiyou.com"")",732.966.6419,"=HYPERLINK(""https://www.google.com/maps/preview/place/'134 W. 29th St, 5th Floor  New York'"")",contact@wikiyou.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+wikiyou"")",Prince Gupta,CTO,Michael Zaic,VP Product Manager,Michael Bacarella,Engineer
Clipmarks,"=HYPERLINK(""http://clipmarks.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",support@clipmarks.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+clipmarks"")",Eric Goldstein,CEO,Derek Krzanowski,Chief Technologist,Eric Weitner,President of Applying Reason to Decision Maki
Forbes,"=HYPERLINK(""http://www.forbes.com"")",(212) 366-8900,"=HYPERLINK(""https://www.google.com/maps/preview/place/'60 5th Avenue  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+forbes"")",Mike Perlis,President & CEO,Victoria Barret,Associate Editor,Ilya Pozin,Columnist
Truphone,"=HYPERLINK(""http://www.truphone.com"")",+44 20 3318 0742,"=HYPERLINK(""https://www.google.com/maps/preview/place/'245 Park Avenue Suite 2463 New York'"")",hello@truphone.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+truphone"")",Steve Robertson,CEO,Alexander Straub,Co-Founder,James Tagg,CTO
Lotame,"=HYPERLINK(""http://www.lotame.com"")",(646) 556-6300,"=HYPERLINK(""https://www.google.com/maps/preview/place/'440 Ninth Ave 18th Floor New York'"")",info@lotame.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+lotame"")",Andy Monfried,CEO,Jeremy Pinkham,CTO,Adam Lehman,COO
Condé Nast,"=HYPERLINK(""http://www.condenast.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'4 Times Sq  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+condenast"")",Steve Newhouse,Chairman of CondéNast,Jill Bright,Chief Administrative Officer,John Bellando,"Chief Operating Officer and Chief Financial Officer, Senior Vice President of Accounting and Finance"
Brightcove,"=HYPERLINK(""http://www.brightcove.com"")",617.500.4947,"=HYPERLINK(""https://www.google.com/maps/preview/place/'54 West 21st Street Suite 705 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+brightcove"")",David Mendels,CEO,Jeremy Allaire,Founder & Executive Chairman of the Board,Christopher Menard,CFO
Associated Content,"=HYPERLINK(""http://www.associatedcontent.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'630 Ninth Ave Ste 605 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+associatedcontent"")",Patrick Keane,CEO,Luke Beatty,Founder & President,Michael Cohen,CFO
Outside.in,"=HYPERLINK(""http://outside.in"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'22 West 21st Street 8th Floor New York'"")",contact@outside.in,"=HYPERLINK(""https://www.google.com/search?q='management+team'+outside-in"")",Steven Johnson,Chairman & Co-Founder,Andrew Karsch,Board,Aly Valli,"Vp, Product"
Rocketboom,"=HYPERLINK(""http://rocketboom.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'PO Box 804 Planetarium Station New York'"")",hi@rocketboom.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+rocketboom"")",Andrew Baron,"Creator, Producer",Amanda Congdon,Host,Jamie Wilkinson,Internet Scientist
IAC,"=HYPERLINK(""http://www.iac.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'555 West 18th Street  New York'"")",info@iac.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+iac"")",Chirs Terill,CEO HomeAdvisor.com,Joey Levin,CEO,Jeff Kip,CEO
AOL,"=HYPERLINK(""http://www.aol.com"")",+1-703-265-1000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'770 Broadway  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+aol"")",Tim Armstrong,"CEO, Chairman",Steve Case,Co-Founder,Susan Lyne,Aol Brand Group CEO
Zwinky,"=HYPERLINK(""http://www.zwinky.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'One North Lexington, 9th Floor White Plains New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+zwinky"")",Dorcas Casey,owner, ,"", ,""
News Corp,"=HYPERLINK(""http://www.newscorp.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'1211 Avenue of the Americas  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+newscorporation"")",Julian Clarke,"CEO, News Corp Australia",Jesse Angelo,"CEO, The New York Post",Mike Darcey,"CEO, News UK"
SelectMinds,"=HYPERLINK(""http://www.selectminds.com"")",212-683-2988,"=HYPERLINK(""https://www.google.com/maps/preview/place/'149 Fifth Avenue  New York'"")",info@selectminds.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+selectminds"")",Robert Goodman,Board of Directors,M. Cem Sertoglu,CEO / Co - Founder,Jack McClunn,CFO/COO
TokBox,"=HYPERLINK(""http://www.tokbox.com"")",415 284 4688,"=HYPERLINK(""https://www.google.com/maps/preview/place/'447 Broadway  New York'"")",contact@tokbox.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+tokbox"")",Ian Small,CEO,Scott Lomond,VP of Marketing and Business Development,Badri Rajasekar,VP Engineering
Veotag,"=HYPERLINK(""http://veotag.com"")",(212) 512-0512,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1040 Avenue of the Americas 24th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+veotag"")",Robert Savette,"VP, Marketing",Arkady Dudko,"VP, Engineering",Scott Rhodes,President
KIT digital,"=HYPERLINK(""http://www.kitd.com"")",+420 271742112,"=HYPERLINK(""https://www.google.com/maps/preview/place/'26 W 17th Street  New York'"")",info@kitd.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+kit-digital"")",Mark Christie,Chief Technology Officer and GM EMEA/APAC,Kevin Joyce,Chief Commercial Officer,Peter Heiland,Interim Chief Executive Officer & Board Of Directer
ContextWeb,"=HYPERLINK(""http://www.contextweb.com"")",212.679.1412,"=HYPERLINK(""https://www.google.com/maps/preview/place/'22 Cortlandt Street  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+contextweb"")",Tim Murray,CEO,Anand Subramanian,Founder & Chairman,Rose Ann Haran,Chief Marketing Officer
Datran Media,"=HYPERLINK(""http://www.datranmedia.com"")",888.494.4764,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",sales@datranmedia.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+datranmedia"")",Andrew Graf,Chief Operating Officer,Bill Raduchel,Board,Frank Dzubeck,Marketing Director and Manager
DGIT,"=HYPERLINK(""http://www.mediamind.com"")",646-202-1320,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1633 Broadway 5th Floor New York'"")",info@mediamind.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+mediamind"")",Ofer Zadikario,"Co-founder, CSO",Ricky Liversidge,Chief Marketing Officer,Neil Nguyen,President and Chief Executive Officer
JumpTV,"=HYPERLINK(""http://jumptv.com"")",,"=HYPERLINK(""https://www.google.com/maps/preview/place/'40 Broad Street, Suite 500  New York'"")",,"=HYPERLINK(""https://www.google.com/search?q='management+team'+jumptv"")",Jason Reid,"Group Head, Finance & Admin and Chief Financi",Jay Howard,"VP, General Counsel",Douglas Ames,"General Manager, Africa, the Caribbean & Euro"
Conduit Labs,"=HYPERLINK(""http://conduitlabs.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",contactus@conduitlabs.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+conduitlabs"")",Daniel O'Brien,"Co-founder, VP Technology",Josh Hubball,VP Business Development,Dan Ogles,"Co-founder, Creative Director"
Global Grind,"=HYPERLINK(""http://www.globalgrind.com"")",6462574950,"=HYPERLINK(""https://www.google.com/maps/preview/place/'50 Broadway Suite 1008 10th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+globalgrind"")",Russell Simmons,Chairman,Robert Boyle,"VP, Product",Darrick Suber,EVP
Heavy,"=HYPERLINK(""http://heavy.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'500 7th Avenue 17th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+heavy"")",Simon Asaad,Co-CEO,David Carson,Co-CEO,Matt Pavelle,Chief Technology Officer
Nielsen,"=HYPERLINK(""http://nielsen.com"")", 800.864.1224,"=HYPERLINK(""https://www.google.com/maps/preview/place/'85 Broad Street  New York'"")",ContactCommunications@nielsen.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+nielsen"")",James M. Kilts,Chairman of the Board - Supervisory Board,Paul Donato,Executive Vice President and Chief Research Officer,Mark Leiter,Chief Strategy Officer
Buzzmetrics,"=HYPERLINK(""http://www.nielsen-online.com"")",1-877-999-7335,"=HYPERLINK(""https://www.google.com/maps/preview/place/'770 Broadway  New York'"")",info@buzzmetrics.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+buzzmetrics"")",Pete Blackshaw,CMO,Jonathan Carson,CEO,Marc Johnson,Executive Vice President
Burnlounge,"=HYPERLINK(""http://corp.burnlounge.com"")",,"=HYPERLINK(""https://www.google.com/maps/preview/place/'304 Hudson St., 7th Floor  New York'"")",,"=HYPERLINK(""https://www.google.com/search?q='management+team'+burnlounge"")",Ryan Dadd,"Co-founder, President and COO",Richard Piemonte,CFO,Stephen Murray,"Co-founder, President of Entertainment and Ch"
Shopzilla,"=HYPERLINK(""http://about.shopzilla.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'420 Lexington Ave. Suite 622 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+shopzilla"")",Bill Glass,CEO,Scott Macon,"COO & Managing Director, Europe",David Weinrot,CMO
SpiralFrog,"=HYPERLINK(""http://www.spiralfrog.com"")",718-839-0941,"=HYPERLINK(""https://www.google.com/maps/preview/place/'95 Morton Street Ground Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+spiralfrog"")",Joe Mohan,Chairman and Founder,Mel Schrieberg,CEO,Vesa Suomalainen,CTO
MIVA,"=HYPERLINK(""http://www.miva.com"")",(212) 796-5358,"=HYPERLINK(""https://www.google.com/maps/preview/place/'41 East 11th Street  New York'"")",info.us@miva.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+miva"")",Peter Corrao,President / CEO / Director,Seb Bishop,President / CMO / Board Director,Thomas Wilde,SVP/GM MIVA North America
Adknowledge,"=HYPERLINK(""http://adknowledge.com"")",1-866-730-2109,"=HYPERLINK(""https://www.google.com/maps/preview/place/'7 Penn Plaza 370 Seventh Ave., 17th Fl. New York'"")",marketing@adknowledge.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+adknowledge"")",Ben Legg,CEO,Raffaele Sadun,Chief Financial Officer,William Intrater,"VP, Strategic Alliances"
Burst Media,"=HYPERLINK(""http://www.burstmedia.com"")",781-272-5544,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1156 Avenue of the Americas Suite 301 New York'"")",support@burstmedia.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+burstmedia"")",Chuck Moran,Chief Marketing Officer,John Babcock,"Senior Vice President, Sales",Helen Splagounias,"Senior Vice President, Software Engineering"
eMusic,"=HYPERLINK(""http://emusic.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'39 W. 13th Street  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+emusic"")",Adam Klein,CEO,Chris Henger,"",Bob Kohn,Founder
BBE,"=HYPERLINK(""http://bbe.com"")",646-833-2901,"=HYPERLINK(""https://www.google.com/maps/preview/place/'245 Fifth Avenue 21st Floor New York'"")",press@bbe.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+bbe"")",Matt Wasserlauf,CEO,Jes Santoro,"SVP, Sales - VINDICO Group",Matt Timothy,EVP Platform and Delivery
Community Connect,"=HYPERLINK(""http://communityconnect.com"")",212.431.4477,"=HYPERLINK(""https://www.google.com/maps/preview/place/'205 Hudson Street 6th floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+communityconnect"")",Peter Chen,Co-Founder,Michael Monero,Co-founder and CTO,Samantha McCuen,Board
Tacoda,"=HYPERLINK(""http://tacoda.com"")",,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",,"=HYPERLINK(""https://www.google.com/search?q='management+team'+tacoda"")",Dave Morgan,Chairman and Founder,Curtis Viebranz,CEO,Hugh McGoran,VP Sales
Thumbplay,"=HYPERLINK(""http://www.thumbplay.com"")",1-877-THUMB-99,"=HYPERLINK(""https://www.google.com/maps/preview/place/'599 Broadway 8th Floor New York'"")",support@thumbplay.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+thumbplay"")",Are Traasdahl,Founder and Chairman,Evan Schwartz,Co-founder and CEO,Lasse Hamre,EVP Technology
Fotolog,"=HYPERLINK(""http://www.fotolog.com"")",212-620-6001,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+fotolog"")",Thomas Gieselmann,Investor,John Borthwick,CEO,Adam Seifer,Co-Founder & Chief Product Officer
IGN Entertainment,"=HYPERLINK(""http://corp.ign.com"")",415.896.3700,"=HYPERLINK(""https://www.google.com/maps/preview/place/'485 Lexington Avenue  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+ignentertainment"")",Tal Blevins,VP of Content / Co-Founder,Peer Schneider,EVP & Publisher / Co-Founder,James Bassil,"Editor-in-Chief, AskMen"
Tutor,"=HYPERLINK(""http://www.tutor.com"")",212-528-3101,"=HYPERLINK(""https://www.google.com/maps/preview/place/'40 Fulton St.  New York'"")",info@tutor.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+tutor"")",Mandy Ginsberg,CEO,Sharmistha Dubey,EVP, ,""
Virgin USA,"=HYPERLINK(""http://virginusa.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+virginusa"")",Richard Branson,Founder,Porter Gale,VP Marketing,Dan Porter,SVP Corporate Development
OMGPOP,"=HYPERLINK(""http://omgpop.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'SoHo  New York'"")",feedback@omgpop.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+omgpop"")",Charles Forman,Founder,Josh Spear,Advisor,Jacob DeHart,Board Member
Ooyala,"=HYPERLINK(""http://www.ooyala.com"")",650-961-3400,"=HYPERLINK(""https://www.google.com/maps/preview/place/'156 5th Avenue  New York'"")",info@ooyala.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+ooyala"")",Jay Fulcher,CEO,Belsasar Lepe,Co-Founder & VP of Solutions,Bismarck Lepe,Co-Founder
Daylife,"=HYPERLINK(""http://www.daylife.com"")",646-580-4394,"=HYPERLINK(""https://www.google.com/maps/preview/place/'444 Broadway, 5th floor  New York'"")",getdaylife@daylife.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+daylife"")",Marc Hedlund,Chief Product Officer,Rich LeFurgy,Investor,Craig Newmark,investor
Behance,"=HYPERLINK(""http://www.behance.net"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@behance.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+behance"")",Matias Corea,"Co-Founder, Chief Designer",Scott Belsky,Co-Founder/CEO,Dave Stein,Chief of Development
Magnify,"=HYPERLINK(""http://magnify.net"")",212-787-5273,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",sales@magnify.net,"=HYPERLINK(""https://www.google.com/search?q='management+team'+magnify"")",Steve Rosenbaum,Founder & CEO,Chris Conetta,COO,Rodger Wells,Vice President Sales
OrganizedWisdom,"=HYPERLINK(""http://organizedwisdom.com"")",646-416-4121,"=HYPERLINK(""https://www.google.com/maps/preview/place/'2000 Broadway 18th Floor New York'"")",unity@organizedwisdom.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+organizedwisdom"")",Unity Stoakes,Co-founder and President,Jason Gresh,CTO,Steven H. Krein,"Co-founder, Chairman and CEO"
LineUpNewYork,"=HYPERLINK(""http://Lineupnewyork.com"")",646-257-2600,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1410 Broadway  New York'"")",lana.migliore@lifestagemedia.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+lineupnewyork"")",Lana Migliore,VP of Analytics and Marketing, ,"", ,""
Clickz,"=HYPERLINK(""http://clickz.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'270 Lafayette Street Suite 700 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+clickz"")",Gregg Stewart,Regular Columnist,Rebecca Lieb,VP and Editor-in-Chief, ,""
PeekYou,"=HYPERLINK(""http://www.peekyou.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@peekyou.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+peekyou"")",Kimberley Partoll,Chairman of the Board,Michael Hussey,CEO/Founder,Venky Someswaran,CTO
